"File Path","Line","Context","Chinese Text","Suggested Key","i18n Key","Replacement"
"src/pages/setting/devise/diyIndex copy.vue","455","text","复制失败","复制失败","message.text.复制失败","$t('message.text.复制失败')"
"src/pages/setting/devise/diyIndex copy.vue","459","text","复制失败","复制失败","message.text.复制失败","$t('message.text.复制失败')"
"src/pages/setting/devise/diyIndex copy.vue","464","text","保存为默认数据","保存为默认数据","message.text.保存为默认数据","$t('message.text.保存为默认数据')"
"src/pages/setting/devise/diyIndex copy.vue","465","text","您确定将当前设计设为默认数据吗","您确定将当前设计设为默认数据吗","message.text.您确定将当前设计设为默认数据吗","$t('message.text.您确定将当前设计设为默认数据吗')"
"src/pages/setting/devise/diyIndex copy.vue","467","text","取消","取消","message.text.取消","$t('message.text.取消')"
"src/pages/setting/devise/diyIndex copy.vue","468","text","确定","确定","message.text.确定","$t('message.text.确定')"
"src/pages/setting/devise/diyIndex copy.vue","486","text","恢复默认数据","恢复默认数据","message.text.恢复默认数据","$t('message.text.恢复默认数据')"
"src/pages/setting/devise/diyIndex copy.vue","487","text","您确定恢复为之前保存的默认数据吗","您确定恢复为之前保存的默认数据吗","message.text.您确定恢复为之前保存的默认数据吗","$t('message.text.您确定恢复为之前保存的默认数据吗')"
"src/pages/setting/devise/diyIndex copy.vue","489","text","取消","取消","message.text.取消","$t('message.text.取消')"
"src/pages/setting/devise/diyIndex copy.vue","490","text","确定","确定","message.text.确定","$t('message.text.确定')"
"src/pages/setting/devise/diyIndex copy.vue","525","text","页面设置","页面设置","message.text.页面设置","$t('message.text.页面设置')"
"src/pages/setting/devise/diyIndex copy.vue","541","text","底部菜单","底部菜单","message.text.底部菜单","$t('message.text.底部菜单')"
"src/pages/setting/devise/diyIndex copy.vue","558","text","该组件禁止拖拽","该组件禁止拖拽","message.text.该组件禁止拖拽","$t('message.text.该组件禁止拖拽')"
"src/pages/setting/devise/diyIndex copy.vue","624","text","该组件禁止移动","该组件禁止移动","message.text.该组件禁止移动","$t('message.text.该组件禁止移动')"
"src/pages/setting/devise/diyIndex copy.vue","632","text","搜索框必须为顶部","搜索框必须为顶部","message.text.搜索框必须为顶部","$t('message.text.搜索框必须为顶部')"
"src/pages/setting/devise/diyIndex copy.vue","664","text","该组件只能添加一次","该组件只能添加一次","message.text.该组件只能添加一次","$t('message.text.该组件只能添加一次')"
"src/pages/setting/devise/diyIndex copy.vue","668","text","该组件只能添加一次","该组件只能添加一次","message.text.该组件只能添加一次","$t('message.text.该组件只能添加一次')"
"src/pages/setting/devise/diyIndex copy.vue","672","text","该组件只能添加一次","该组件只能添加一次","message.text.该组件只能添加一次","$t('message.text.该组件只能添加一次')"
"src/pages/setting/devise/diyIndex copy.vue","781","text","基础组件","基础组件","message.text.基础组件","$t('message.text.基础组件')"
"src/pages/setting/devise/diyIndex copy.vue","786","text","营销组件","营销组件","message.text.营销组件","$t('message.text.营销组件')"
"src/pages/setting/devise/diyIndex copy.vue","791","text","工具组件","工具组件","message.text.工具组件","$t('message.text.工具组件')"
"src/pages/setting/devise/diyIndex copy.vue","857","text","暂未添加任何组件","暂未添加任何组件","message.text.暂未添加任何组件","$t('message.text.暂未添加任何组件')"
"src/pages/setting/devise/diyIndex copy.vue","857","text","保存失败","保存失败","message.text.保存失败","$t('message.text.保存失败')"
"src/pages/setting/devise/diyIndex copy.vue","942","text","新增页面","新增页面","message.text.新增页面","$t('message.text.新增页面')"
"src/pages/setting/devise/diyIndex copy.vue","942","text","无法重置","无法重置","message.text.无法重置","$t('message.text.无法重置')"
"src/pages/setting/devise/diyIndex copy.vue","945","text","提示","提示","message.text.提示","$t('message.text.提示')"
